stock_code,corp_name,induty_code,wave_group,wave_group_final,report_ok,kw_CBAM,kw_배터리여권,kw_기어박스,kw_휠,kw_현가장치,kw_라디에이터,kw_유럽
017370,(주)우신시스템,292,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,10
003160,(주)디아이,27212,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,0
053620,(주)태양,25991,1차(2027),1차(2027),True,0,0,0,0,0,0,0
078600,대주전자재료(주),2629,비대상,비대상,True,0,0,0,0,0,0,2
004780,(주)대륙제관,25991,1차(2027),1차(2027),True,0,0,0,0,0,0,1
071090,(주)하이스틸,2413,1차(2027),1차(2027),True,2,0,0,0,0,0,3
261200,주식회사 덴티스,271,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,5
039030,(주)이오테크닉스,29271,비대상,비대상,True,0,0,0,0,0,0,1
023450,(주)동남합성,201,비대상,비대상,True,0,0,0,0,0,0,0
024740,한일단조공업(주),303,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,4
058470,리노공업(주),2629,비대상,비대상,True,0,0,0,0,0,0,1
214680,(주)디알텍,271,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,13
009160,(주)SIMPAC,24113,1차(2027),1차(2027),True,0,0,0,0,0,0,4
017800,현대엘리베이터(주),29162,2차(2028),2차(2028),True,0,0,0,0,0,0,9
054450,(주)텔레칩스,2611,비대상,비대상,True,0,0,0,0,0,0,5
183300,(주)코미코,29271,비대상,비대상,True,0,0,0,0,2,0,6
094170,(주)동운아나텍,2611,비대상,비대상,True,0,0,0,0,0,0,3
011090,(주)에넥스,32021,비대상,비대상,True,0,0,0,0,0,0,0
017480,삼현철강(주),2419,1차(2027),1차(2027),True,0,0,0,0,0,0,0
214430,아이쓰리시스템(주),2629,비대상,비대상,True,0,0,0,0,0,0,4
003800,(주)에이스침대,32029,비대상,비대상,True,0,0,0,0,0,0,4
092300,현우산업(주),2622,비대상,비대상,True,0,0,0,0,0,0,0
214330,(주)금호에이치티,303,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,2
048430,(주)유라테크,281,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,3
002200,한국수출포장공업(주),1721,비대상,비대상,True,0,0,0,0,0,0,0
013310,아진산업(주),303,2차 후보(확인 필요),"2차(2028, 제품명 확인)",True,0,0,1,0,3,0,0
002220,한일철강(주),2419,1차(2027),1차(2027),True,0,0,0,0,0,0,3
003960,(주)사조대림,10211,비대상,비대상,True,0,0,0,0,0,0,3
065510,(주)휴비츠,27199,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,1,0,0,11
012280,영화금속(주),303,2차(2028),2차(2028),True,0,0,0,0,0,0,3
058730,다스코(주),25112,1차(2027),1차(2027),True,0,0,0,0,0,0,3
013870,지엠비코리아(주),303,2차 후보(확인 필요),"2차(2028, 제품명 확인)",True,0,0,4,2,2,0,15
378340,주식회사 필에너지,29299,비대상,비대상,True,0,0,0,0,0,0,15
017860,주식회사 디에스단석,204,비대상,비대상,True,0,0,0,0,0,0,10
010100,한국무브넥스(주),303,2차 후보(확인 필요),"2차(2028, 제품명 확인)",True,0,0,1,0,1,0,1
005950,(주)이수화학                             ,20111,비대상,비대상,True,0,0,0,0,0,0,22
007340,(주)디엔오토모티브,28202,비대상,비대상,True,0,0,0,0,1,0,13
033160,엠케이전자(주),262,비대상,비대상,True,0,0,0,0,0,0,0
090430,(주)아모레퍼시픽,20423,비대상,비대상,True,0,0,0,0,0,0,3
025900,동화기업(주),16212,비대상,비대상,True,0,0,0,0,0,0,5
077970,STX엔진(주),29111,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,1,0,0,0,9
012860,(주)모베이스전자,303,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,25
264450,(주)유비쿼스,26410,비대상,비대상,True,0,0,0,0,0,0,0
134380,미원화학(주),20421,비대상,비대상,True,0,0,0,0,0,0,1
078890,가온그룹(주),264,비대상,비대상,True,0,0,0,0,0,0,11
108230,(주)톱텍,292,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,3
008260,(주)NI스틸,2419,1차(2027),1차(2027),True,0,0,0,0,0,0,0
091700,(주)파트론,2629,비대상,비대상,True,0,0,0,0,0,0,1
050860,(주)아세아텍,29210,2차(2028),2차(2028),True,0,0,0,0,0,0,4
033500,(주)동성화인텍,201,비대상,비대상,True,0,0,0,0,0,0,2
023810,(주)인팩,303,2차 후보(확인 필요),"2차(2028, 제품명 확인)",True,0,0,1,0,7,0,17
097520,(주)엠씨넥스,26519,비대상,비대상,True,0,0,0,0,0,0,1
012610,(주)경인양행,20132,비대상,비대상,True,0,0,0,0,0,0,23
102460,이연제약(주),212,비대상,비대상,True,0,0,0,0,0,0,3
084870,(주)티비에이치글로벌,141,비대상,비대상,True,0,0,0,0,0,0,0
115440,(주)우리넷,2641,비대상,비대상,True,0,0,0,0,0,0,0
264660,씨앤지하이테크(주),29271,비대상,비대상,True,0,0,0,0,0,0,0
074600,(주)원익큐엔씨,2312,비대상,비대상,True,0,0,0,0,0,0,1
036200,유니셈(주),29271,비대상,비대상,True,0,0,0,0,0,0,1
111380,(주)동인기연,151,비대상,비대상,True,0,0,0,0,0,0,1
125210,(주)아모그린텍,2629,비대상,비대상,True,0,0,0,0,0,0,5
114840,(주)아이패밀리에스씨,204,비대상,비대상,True,0,0,0,0,0,0,10
263810,상신전자(주),2629,비대상,비대상,True,0,0,0,0,0,0,1
