stock_code,corp_name,size_class,is_holding,wave_group_reviewed,induty_code,kisa_name,kisa_type_used,it_year,it_spend,rev_same_year,it_ratio,rev_band
241560,두산밥캣 주식회사,대기업,False,2차(2028),29241,두산밥캣,의무,2025,5742250478.0,6181806000.0,0.9288952901466012,3천억 미만
059100,(주)아이컴포넌트,중소,False,비대상,26211,,,,,,,
037760,(주)쎄니트,중소,False,1차(2027),24122,,,,,,,
129920,(주)대성하이텍,중소,False,2차 후보-약,29223,,,,,,,
004100,태양금속공업(주),중견,False,2차 후보(확인 필요),303,태양금속공업(주),의무,2025,540502360.0,349105580671.0,0.0015482489823311473,3천억~5천억
004980,성신양회(주),중견,False,1차(2027),23311,성신양회(주),의무,2025,1739708190.0,623526620586.0,0.0027901105302689327,5천억~1조
306040,주식회사 에스제이그룹,중소,False,비대상,15129,,,,,,,
036890,(주)진성티이씨,중견,False,2차(2028),29241,(주)진성티이씨,자율,2025,1963319841.0,269465190649.0,0.007285986870034658,3천억 미만
265560,영화테크(주),중소,False,2차 후보(확인 필요),3033,,,,,,,
004830,(주)덕성,중소,False,비대상,22214,,,,,,,
089980,(주)상아프론테크,중견,False,비대상,222,,,,,,,
399720,(주)가온칩스,중소,False,비대상,26112,,,,,,,
171010,램테크놀러지(주),중소,False,비대상,20119,,,,,,,
183190,아세아시멘트(주),중견,False,1차(2027),23311,아세아시멘트(주),의무,2025,1432976390.0,456605366000.0,0.003138325776924838,3천억~5천억
171090,(주)선익시스템,중견,False,2차 후보(확인 필요),292,선익시스템,의무,2025,633683805.0,515360026987.0,0.0012295944035566125,5천억~1조
101680,한국정밀기계(주),중소,False,2차 후보-약,29223,,,,,,,
009150,삼성전기(주),대기업,False,비대상,2622,삼성전기(주),의무,2025,207903136072.0,8377908028341.0,0.02481563838713674,5조 이상
441270,(주)파인엠텍,중견,False,비대상,26299,,,,,,,
093050,(주)LF,중견,False,비대상,14111,㈜LF,의무,2025,32493006557.0,1140620103883.0,0.028487141727893826,1조~5조
042110,(주)에스씨디,중견,False,2차(2028),28519,,,,,,,
008470,(주)부-스타,중소,False,비대상,25130,,,,,,,
043370,피에이치에이(주),중견,False,2차 후보(확인 필요),303,피에이치에이 주식회사,의무,2025,3849236159.0,693892968273.0,0.0055473053266128294,5천억~1조
047310,(주)파워로직스,중견,False,비대상,2812,(주) 파워로직스,의무,2025,1329586526.0,527798793687.0,0.0025191162653328903,5천억~1조
045300,성우테크론(주),중소,False,비대상,2629,,,,,,,
043650,(주)국순당,중소,False,비대상,11111,,,,,,,
001420,태원물산(주),중소,False,2차 후보(확인 필요),303,,,,,,,
085910,(주)네오티스,중소,False,2차 후보(확인 필요),303,,,,,,,
025890,한국주강(주),중소,False,2차 후보(확인 필요),292,,,,,,,
122990,(주)와이솔,중견,False,비대상,2629,,,,,,,
092200,(주)디아이씨,중견,False,"2차(2028, 제품명 확인)",303,주식회사 디아이씨,의무,2025,857272864.0,406814288213.0,0.0021072830744606214,3천억~5천억
093920,(주)서원인텍,중소,False,비대상,2642,,,,,,,
353200,대덕전자(주),중견,False,비대상,2622,대덕전자 주식회사,의무,2025,18374290892.0,1064715003611.0,0.017257473436255957,1조~5조
