corp_code,corp_name,stock_code,corp_cls,induty_code,jurir_no,bizr_no,est_dt,acc_mt,adres,bsns_year,rcept_no,cfs_rev_t,cfs_rev_t1,cfs_rev_t2,cfs_assets_t,cfs_rev_3y_avg,ofs_rev_t,ofs_rev_t1,ofs_rev_t2,ofs_assets_t,ofs_rev_3y_avg,rev_source
00390903,(주)우주일렉트로닉스,065680,K,2629,1348110043711,1248165313,19990816,12,경기도 수원시 영통구 대학3로 7 나보나스퀘어 3층(이의동),2025,20260814001264,186420206961.0,176181835330.0,159897623025.0,345782147365.0,174166555105.0,182050005032.0,173246234604.0,157458753928.0,348266560887.0,170918331188.0,주요계정
00136776,차AI헬스케어(주),025620,Y,204,1341110001672,1388103204,19720630,12,서울특별시 강남구 선릉로146길 47 지하1층 - 4층,2025,20260319001268,7305082169.0,15675289582.0,16089005897.0,110247467597.0,13023125883.0,5683172860.0,12999803325.0,14388627937.0,108485054697.0,11023868041.0,주요계정
00358271,(주)에스에프에이,056190,K,292,1942110032714,6098135227,19981218,12,경기도 화성시 동탄면 영천로 38,2025,20260610000400,1630950490066.0,2045361581270.0,1860351129906.0,2261944460744.0,1845554400414.0,790239319800.0,971260923771.0,1017935690443.0,1332954418117.0,926478644671.0,주요계정
01467503,주식회사 뉴키즈온,462310,K,141,1101115121275,2018632899,20130425,12,"서울특별시 중구 다산로 210, 7층(신당동, 홍진빌딩)",2025,20260319000611,49034721544.0,50378041900.0,45892704604.0,54407941390.0,48435156016.0,45256444988.0,47829292027.0,44699148279.0,53751690535.0,45928295098.0,주요계정
00292434,(주)인트론바이오테크놀로지,048530,K,211,1101111636004,2158174710,19990118,12,경기도 성남시 중원구  사기막골로 137 중앙인더스피아 5차 701~704호,2025,20260311004106,5740240967.0,6417829346.0,9585444181.0,74321845927.0,7247838165.0,5740240967.0,6417829346.0,9585444181.0,74136216555.0,7247838165.0,주요계정
00347734,진양화학(주),051630,Y,22214,1101112141672,1108149202,20010103,12,울산광역시 남구  장생포로 93,2025,20260303003003,,,,,,18563879502.0,24527435256.0,28281407525.0,82250041817.0,23790907428.0,주요계정
00109286,(주)대동,000490,Y,29210,1911110000104,5148106690,19470520,12,대구광역시 달성군 논공읍 논공중앙로34길 35 35,2025,20260318001552,1484722098136.0,1415582422216.0,1433390777280.0,2275000906820.0,1444565099211.0,863154294296.0,838966031369.0,1032870096949.0,1217025773429.0,911663474205.0,주요계정
00118804,(주)동진쎄미켐,005290,K,20129,1201110003848,1378107814,19730710,12,인천광역시 서구  백범로 644,2025,20260319000264,1194144534567.0,1112812913021.0,1009711558318.0,2006130721478.0,1105556335302.0,1147296848069.0,1071085464304.0,967279527410.0,1482632619151.0,1061887279928.0,주요계정
01506990,주식회사 옵티코어,380540,K,266,1358110286766,6208800312,20160217,12,경기도 화성시 동탄기흥로 602 5층,2025,20260323001681,21511958068.0,23301941369.0,26332441090.0,69148905404.0,23715446842.0,20606262717.0,21065351733.0,26301793468.0,69456059419.0,22657802639.0,주요계정
01047707,(주)포톤,208710,K,262,1101115546217,1078832553,20141023,12,"경기도 용인시 기흥구 기흥로 58-1 제A동 1805호 (구갈동, 기흥ICT밸리SKV1)",2025,20260409001053,128735265761.0,135706326881.0,123469141449.0,92708867424.0,129303578030.0,118144771096.0,129854239028.0,119945186448.0,89167450770.0,122648065524.0,주요계정
00112970,대한방직(주),001070,Y,132,1101110019350,1168133353,19530810,12,"서울특별시 중구 중림로 48 (중림동, 성준빌딩)",2025,20260319001239,158285867181.0,133909117274.0,149403981153.0,235543713677.0,147199655203.0,152834773503.0,121143990267.0,139066907400.0,231705079754.0,137681890390.0,주요계정
01090471,(주)에스에프에이넥셀,222080,K,292,1101115731032,1878600067,20150522,12,대구광역시 동구 팔공로47길 37 -,2025,20260320001352,407181174584.0,508540762515.0,310163525240.0,660203408842.0,408628487446.0,406240741630.0,508365110521.0,307695245556.0,659922576088.0,407433699236.0,주요계정
01288827,주식회사 에이치피에스피,403870,K,29271,1348110401886,2128700598,20170314,12,경기도 화성시 삼성1로1길 26 석우동,2025,20260319000776,,,,,,172964572189.0,181401607828.0,179086660832.0,369707189477.0,177817613616.0,주요계정
00129387,에스피삼화(주),000390,Y,20411,1101110014433,1348117477,19460409,12,경기도 안산시 단원구  별망로 178,2025,20260318000462,617067546154.0,628348259134.0,631381875774.0,620525370677.0,625599227021.0,520834500803.0,555601008443.0,558977590196.0,546287758667.0,545137699814.0,주요계정
00311216,에이치엔에스하이텍(주),044990,K,262,1101111219561,1208165247,19951206,12,대전광역시 유성구 테크노1로 62-7 &nbsp,2025,20260306000209,81886784499.0,76160586579.0,80551938241.0,115761731759.0,79533103106.0,81886784499.0,76160586579.0,80437087205.0,116616473511.0,79494819428.0,주요계정
00843900,(주)육일씨엔에쓰,191410,K,262,1101113637810,1098607323,20070314,12,서울특별시 영등포구 경인로 775 에이스하이테크시티 2동 2001호,2025,20260319000768,44835017787.0,33725388352.0,29019810938.0,56008781596.0,35860072359.0,4395308914.0,4275298701.0,4672164163.0,35606475214.0,4447590593.0,주요계정
01215618,(주)와이엠텍,273640,K,2812,1501110081963,3018176983,20040811,12,충청북도 청주시 흥덕구 옥산면 과학산업3로 38,2025,20260320000600,,,,,,29109108272.0,30912078450.0,34880929940.0,60029266476.0,31634038887.0,주요계정
00110583,(주)디에이치오토웨어,025440,K,265,1101110254344,1198102446,19790605,12,"광주광역시 광산구 빛그린동로 190 1207 외 3필지 (1207, 1208, 1209, 1210)",2025,20260324000394,494366222632.0,371930569811.0,393131714023.0,350053381864.0,419809502155.0,375808912467.0,371197083878.0,388646746046.0,255017984602.0,378550914130.0,주요계정
00403766,(주)한국첨단소재,062970,K,26410,2001110105176,4098149801,19990921,12,광주광역시 북구 첨단과기로 345,2025,20260312000851,,,,,,3580740155.0,6504557437.0,14413036040.0,18440910502.0,8166111211.0,주요계정
01498974,큐리옥스바이오시스템즈(주),445680,K,271,1101116865103,5238101156,20180907,12,"서울특별시 금천구 디지털로9길 41 2층 202호, 204호 ~ 213호 (가산동, 삼성아이티해링턴타워) &nbsp",2025,20260323001056,5151548437.0,4587636523.0,6787910936.0,78027492351.0,5509031965.0,2709294541.0,2769573874.0,3220213607.0,90930309423.0,2899694007.0,주요계정
00526678,(주)동방선기,099410,K,31114,1941110002884,6098119396,19940706,12,경상남도 창원시 진해구 명제로 73,2025,20260323001236,,,,,,41878629483.0,35715981658.0,27307982909.0,66929971964.0,34967531350.0,주요계정
00370918,케이디켐(주),221980,K,2049,1341110013255,3028103955,19860718,12,충청북도 보은군 보은읍 매화구인로 345 &nbsp,2025,20260319001049,62897420640.0,62416153464.0,59145786358.0,128056414328.0,61486453487.0,62428850868.0,61907798844.0,58630274401.0,120819664055.0,60988974704.0,주요계정
00273439,(주)메디아나,041920,K,27112,1101111168502,2118637038,19950619,12,강원도 원주시 문막읍 동화공단로 132,2025,20260311004653,64944817855.0,57038971899.0,78421203014.0,146835881738.0,66801664256.0,64258169188.0,56657768808.0,77997094012.0,146799061976.0,66304344003.0,주요계정
00453488,(주)다이나믹디자인,145210,Y,292,2001110097272,4108149892,19990402,12,광주광역시 북구 첨단연신로29번길 12 (주)다이나믹디자인(연제동 1036번지),2025,20260323001749,80189664538.0,62573691835.0,56959416321.0,117455797571.0,66574257565.0,50799565633.0,39215339942.0,39721929735.0,87032197022.0,43245611770.0,주요계정
00160588,(주)한화,000880,Y,20494,1101110002959,2028116825,19521028,12,서울특별시 중구  청계천로 86 24층,2025,20260331003871,74785440000000.0,55646829000000.0,53134813000000.0,289329420000000.0,61189027333333.0,4315204000000.0,5882542000000.0,7203547000000.0,11201110000000.0,5800431000000.0,주요계정
01325429,(주)지아이에스,306620,K,292,1101116852431,3358701207,20180824,12,경기도 안양시 동안구 부림로 146 네온테크 -,2025,20260701000705,75810672480.0,104451927574.0,86754563129.0,143518774423.0,89005721061.0,26325015930.0,21979509708.0,29333531471.0,98460469981.0,25879352370.0,주요계정
00162911,한일사료(주),005860,K,109,1345110004008,1358105182,19681126,12,경기도 용인시 기흥구 하갈로 127(하갈동),2025,20260312001293,454852166662.0,430978104202.0,396938179132.0,209428791267.0,427589483332.0,152255009396.0,151880546014.0,160695074064.0,85928746985.0,154943543158.0,주요계정
00106395,금호전기(주),001210,Y,28410,1101110028541,1058100527,19350525,12,서울특별시 구로구 디지털로33길 48 대륭포스트타워7차 17층,2025,20260318001105,44337718233.0,53171559352.0,53372993650.0,30776225371.0,50294090412.0,42206515083.0,44282617145.0,43768030320.0,29743085170.0,43419054183.0,주요계정
00139719,(주)와이지-원,019210,K,25934,1201110038639,1228116515,19860925,12,인천광역시 연수구 송도과학로16번길 13-40 -,2025,20260318000988,639382631795.0,574990223686.0,553181695854.0,1176441361638.0,589184850445.0,420294883669.0,401019385128.0,388846565920.0,924631839399.0,403386944906.0,주요계정
00362201,(주)세운메디칼,100700,K,213,1101110324858,2048111321,19820806,12,충청남도 천안시 서북구  입장면 도림길 60 (주)세운메디칼,2025,20260320000308,63656938818.0,60150954758.0,68246934042.0,163871834274.0,64018275873.0,61941122993.0,58816225506.0,66389731857.0,166133194218.0,62382360119.0,주요계정
00862880,(주)새빗켐,107600,K,2049,1713110007259,5108110800,20010620,12,경상북도 김천시 공단로 98,2025,20260318001590,,,,,,38390648152.0,30336503327.0,45990061261.0,82728051469.0,38239070913.0,주요계정
00961507,(주)케일럼,258610,K,251,1101114097518,1098617840,20090519,12,부산광역시 강서구 범방2로 6 &nbsp,2025,20260319000947,81698394490.0,97331264354.0,84547280407.0,79874351233.0,87858979750.0,13531031150.0,23984447279.0,18209351053.0,61966618090.0,18574943161.0,주요계정
00876908,모트렉스 주식회사,118990,K,303,1101112341850,1088150292,20011001,12,경기도 성남시 수정구 금토로80번길 56 위든타워 1동 1301호,2025,20260318000967,702273819074.0,586886443642.0,531030803840.0,924831761070.0,606730355519.0,313869524230.0,278651295723.0,342449328710.0,567164088128.0,311656716221.0,주요계정
