corp_code,corp_name,stock_code,corp_cls,induty_code,jurir_no,bizr_no,est_dt,acc_mt,adres,bsns_year,rcept_no,ftc_group,ftc_is_large,is_holding,size_class,size_reason,rev_basis,sme_limit_eok,ofs_rev_t,ofs_rev_3y_avg,ofs_assets_t,cfs_rev_t,cfs_rev_3y_avg,cfs_assets_t,kets_member,kets_code,kets_name,kets_ksic,kets_match_note,cbam_wave1_industry,cbam_wave1_item,cbam_wave1_type,cbam_wave2_industry,cbam_wave2_item,wave_group,report_ok,kw_CBAM,kw_배터리여권,kw_기어박스,kw_휠,kw_현가장치,kw_라디에이터,kw_유럽,product_hit,wave_group_final,review_decision,review_note,wave_group_reviewed
00128111,(주)포스코엠텍,009520,K,24199,1746110000866,5068100055,19731227,12,경상북도 포항시 남구  형산강북로 131 포스코엠텍,2025,20260318000807,포스코,True,False,대기업,상호출자제한기업집단 소속,별도,1800,357432185147.0,348490236933.0,155201620131.0,,,,False,,,,,해당,철강,원재료,비해당,,1차(2027),,0,0,0,0,0,0,0,False,1차(2027),,,1차(2027)
00130763,서울반도체(주),046890,K,2612,1101110522436,1128113675,19870305,12,경기도 안산시 단원구 산단로 163번길 97-11,2025,20260319000003,,False,False,중견,"3년 평균 매출 8,265억 > 기준 1,000억, 자산 7,672억 ≥ 5,000억",별도,1000,756089894386.0,826453104964.0,767152781626.0,1013523607401.0,1045463354697.0,1103260274069.0,False,,,,,비해당,,,비해당,,비대상,True,0,0,0,0,0,0,9,False,비대상,,,비대상
00153375,(주)태광,023160,K,2413,1801110045559,6038107233,19820901,12,부산광역시 강서구  녹산산업대로 117-12,2025,20260320000407,,False,False,중견,"3년 평균 매출 2,562억 > 기준 1,800억, 자산 6,734억 ≥ 5,000억",별도,1800,265617235360.0,256200604094.0,673393069676.0,296965688227.0,291947715957.0,740815619979.0,False,,,,,해당,철강,원재료,비해당,,1차(2027),True,0,0,0,0,0,0,8,False,1차(2027),,,1차(2027)
00589127,(주)케이이씨,092220,Y,2612,1101113525750,1198191880,20060912,12,서울특별시 서초구  마방로10길 5,2025,20260319000580,,False,False,중견,"3년 평균 매출 2,172억 > 기준 1,000억",별도,1000,219393654621.0,217165979847.0,488404731567.0,229616634285.0,226573942424.0,448923235931.0,True,I1100100028,(주)케이이씨,26129,,비해당,,,비해당,,비대상,True,0,0,0,0,0,0,0,False,비대상,,,비대상
01009789,코스맥스(주),192820,Y,20423,1348110294273,1438119635,20140303,12,"경기도 화성시  향남읍 제약공단1길 27, 2길 46",2025,20260318000694,,False,False,중견,"3년 평균 매출 13,139억 > 기준 1,200억, 자산 13,649억 ≥ 5,000억",별도,1200,1526414620755.0,1313870595208.0,1364939447652.0,2398757972848.0,2114114019303.0,2125418400005.0,False,,,,,비해당,,,비해당,,비대상,True,0,0,0,0,0,0,3,False,비대상,,,비대상
01412725,두산퓨얼셀 주식회사,336260,Y,28111,2149110058935,7738801177,20191001,12,전라북도 익산시 석암로7길 100 (팔봉동),2025,20260318001264,두산,True,False,대기업,상호출자제한기업집단 소속,별도,1800,454852507957.0,375856368679.0,1201875277326.0,454794706613.0,375821533675.0,1198423425943.0,False,,,,,비해당,,,해당,전동기·변압기,2차(2028),,0,0,0,0,0,0,0,False,2차(2028),,,2차(2028)
00488402,서울바이오시스(주),092190,K,2612,1350110122156,1348178872,20020125,12,경기도 안산시 단원구 산단로163번길 65-16 (원시동),2025,20260318001624,,False,False,중견,"3년 평균 매출 2,067억 > 기준 1,000억",별도,1000,257076779691.0,206708060246.0,281600014791.0,763809147116.0,655667572801.0,717773205486.0,True,I1100120042,서울바이오시스(주),26121,,비해당,,,비해당,,비대상,True,0,0,0,0,0,0,2,False,비대상,,,비대상
00668965,(주)지오엘리먼트,311320,K,262,1313110059571,1258157795,20050503,12,경기도 안성시 금석3길 30,2025,20260319000153,,False,False,중소,"3년 평균 매출 269억 ≤ 기준 1,000억, 자산 5,000억 미만",별도,1000,32560148098.0,26876863217.0,65003850072.0,54623538260.0,39070633567.0,76804567328.0,False,,,,,비해당,,,비해당,,비대상,,0,0,0,0,0,0,0,False,비대상,,,비대상
00249894,(주)테라젠이텍스,066700,K,212,1101110724107,1338122943,19900927,12,경기도 안산시 단원구 산단로 68번길 58(초지동),2025,20260319001163,,False,False,중견,"3년 평균 매출 1,493억 > 기준 800억",별도,800,172140078543.0,149349940345.0,181133543638.0,271589661726.0,245895053393.0,257628373553.0,False,,,,,비해당,,,비해당,,비대상,True,0,0,0,0,0,0,1,False,비대상,,,비대상
00184889,(주)이건홀딩스,039020,K,161,1301110028935,1348101053,19880414,12,인천 남구 도화동 967-3,2025,20260318001617,,False,True,중소,"3년 평균 매출 70억 ≤ 기준 1,000억, 자산 5,000억 미만",별도,1000,6939748604.0,7003155692.0,209358058307.0,447114517033.0,467667984218.0,734413820920.0,False,,,,,비해당,,,비해당,,비대상,,0,0,0,0,0,0,0,False,비대상,,,비대상
00899556,제룡산업(주),147830,K,251,1101114722917,2068658555,20111104,12,서울특별시 광진구  아차산로 628 (광장동),2025,20260316000423,,False,False,중소,"3년 평균 매출 360억 ≤ 기준 1,200억, 자산 5,000억 미만",별도,1200,37923882483.0,36049344739.0,96049264525.0,,,,False,,,,,일부해당,구조물/탱크·용기,,비해당,,2차 후보(확인 필요),,0,0,0,0,0,0,0,False,2차 후보(확인 필요),,,2차 후보(확인 필요)
00122481,(주)태경비케이,014580,Y,23312,1101110301111,1098127101,19800122,12,서울특별시 강서구  공항대로 467 (등촌동),2025,20260319000934,,False,False,중견,"3년 평균 매출 2,268억 > 기준 800억",별도,800,219451249151.0,226782074376.0,311505287154.0,385942613685.0,329566523095.0,626041034698.0,True,I0700100008,주식회사 태경비케이,23312,,비해당,,,비해당,,비대상,True,0,0,0,0,0,0,0,False,비대상,,,비대상
01274329,성일하이텍 주식회사,365340,K,201,2111110049793,5208800609,20170329,12,전북특별자치도 군산시 새만금북로 122 -,2025,20260602000219,,False,False,중견,"3년 평균 매출 1,742억 > 기준 1,200억, 자산 6,054억 ≥ 5,000억",별도,1200,186268601136.0,174201425397.0,605418112655.0,194629131476.0,192737310302.0,720705308067.0,True,I0900230058,성일하이텍(주),24219,업종 대분류 불일치(확인 필요),비해당,,,비해당,,비대상,True,0,3,0,0,0,0,13,False,비대상,,,비대상
00162072,한신기계공업(주),011700,Y,29132,1301110010346,1348103309,19761123,12,경기도 안산시 단원구  해봉로330번길 23 신길동,2025,20260319001391,,False,False,중소,"3년 평균 매출 573억 ≤ 기준 1,200억, 자산 5,000억 미만",별도,1200,50507232118.0,57264371886.0,109940733619.0,52718857507.0,59019648997.0,120169071957.0,False,,,,,비해당,,,일부해당,엔진용·소형 펌프(일부),2차 후보(확인 필요),,0,0,0,0,0,0,0,False,2차 후보(확인 필요),,,2차 후보(확인 필요)
00121154,(주)엠에스씨,009780,K,108,1845110000147,6218109054,19740412,12,경남 양산시 웅상읍 소주리 439-13,2025,20260319000368,,False,False,중견,"3년 평균 매출 1,914억 > 기준 1,200억",별도,1200,196954996133.0,191366298440.0,272471392150.0,197662693140.0,192155949017.0,277193366709.0,True,F0010100021,(주)MSC,10749,,비해당,,,비해당,,비대상,True,0,0,0,0,0,0,0,False,비대상,,,비대상
00141307,(주)영풍,000670,Y,24213,1101110003824,2118111275,19491125,12,서울특별시 강남구  강남대로 542,2025,20260317000753,영풍,True,False,대기업,상호출자제한기업집단 소속,별도,1800,1192666327316.0,1264211859180.0,1969640774506.0,2908974321148.0,3152707103929.0,6002694219498.0,True,I0900100013,주식회사 영풍,24213,,비해당,,,비해당,,비대상,,0,0,0,0,0,0,0,False,비대상,,,비대상
00158219,시그네틱스(주),033170,K,2612,1101110070815,1098100780,19660912,12,경기도 파주시 탄현면 평화로 711,2025,20260319000661,영풍,True,False,대기업,상호출자제한기업집단 소속,별도,1000,103046699790.0,135560755009.0,107099058294.0,103046699790.0,135560755009.0,107129773768.0,True,I1100100017,시그네틱스(주),26111,,비해당,,,비해당,,비대상,,0,0,0,0,0,0,0,False,비대상,,,비대상
00157991,한국석유공업(주),004090,Y,23999,1101110048490,1068103639,19641211,12,서울특별시 용산구  이촌로 166,2025,20260319001351,,False,False,중견,"3년 평균 매출 3,700억 > 기준 800억",별도,800,369560363319.0,370002458551.0,365437177582.0,696926234873.0,701798806566.0,413045650887.0,False,,,,,비해당,,,비해당,,비대상,True,0,0,0,0,0,0,4,False,비대상,,,비대상
00262266,(주)삼현,437730,K,303,1901110012514,6098109210,19880901,12,경상남도 창원시 의창구 죽전로 45,2025,20260319000680,,False,False,중소,"3년 평균 매출 982억 ≤ 기준 1,200억, 자산 5,000억 미만",별도,1200,94591115131.0,98182834922.0,200365629944.0,95041722249.0,98446054774.0,202098988834.0,False,,,,,비해당,,,일부해당,기어박스(일부)/자동차 엔진 부품(일부)/자동차 차체 부품(일부)/휠·현가장치·라디에이터(일부),2차 후보(확인 필요),,0,0,0,0,0,0,0,False,2차 후보(확인 필요),,,2차 후보(확인 필요)
00175173,(주)오스템,031510,K,303,1615110006796,3128107773,19900307,12,충청남도 천안시 동남구 수신면 수신로 739,2025,20260319001031,,False,False,중소,"3년 평균 매출 1,186억 ≤ 기준 1,200억, 자산 5,000억 미만",별도,1200,104421047042.0,118592431481.0,121893530425.0,128548602017.0,132796443031.0,131602601080.0,False,,,,,비해당,,,일부해당,기어박스(일부)/자동차 엔진 부품(일부)/자동차 차체 부품(일부)/휠·현가장치·라디에이터(일부),2차 후보(확인 필요),,0,0,0,0,0,0,0,False,2차 후보(확인 필요),,,2차 후보(확인 필요)
00126779,삼아알미늄(주),006110,Y,24222,1341110002365,1238101882,19690625,12,경기도 평택시 포승읍 평택항로 92 삼아알미늄 주식회사,2025,20260318000860,,False,False,중견,"3년 평균 매출 2,216억 > 기준 1,800억",별도,1800,213039221815.0,221646761365.0,451649401404.0,271458652401.0,263738470161.0,452042872779.0,False,,,,,해당,알루미늄,원재료,비해당,,1차(2027),True,0,0,0,0,0,0,6,False,1차(2027),,,1차(2027)
00138516,아남전자(주),008700,Y,265,1201110018300,1228102613,19730420,12,서울특별시 구로구 디지털로27가길 27아남빌딩,2025,20260312001247,,False,False,중소,"3년 평균 매출 2억 ≤ 기준 1,000억, 자산 5,000억 미만",별도,1000,144710148.0,184691028.0,111463878.0,151351168.0,198806368.0,144149370.0,False,,,,,비해당,,,비해당,,비대상,,0,0,0,0,0,0,0,False,비대상,,,비대상
00191472,KPX케미칼(주),025000,Y,20119,1101110166903,1108133923,19740701,12,서울특별시 마포구  마포대로 137  KPX빌딩,2025,20260312001374,,False,False,중견,"3년 평균 매출 6,626억 > 기준 1,200억, 자산 7,946억 ≥ 5,000억",별도,1200,613426770079.0,662573475309.0,794644063715.0,808350805037.0,862680571322.0,875368968863.0,False,,,,,비해당,,,비해당,,비대상,True,0,0,0,0,0,0,1,False,비대상,,,비대상
00788773,(주)씨젠,096530,K,2130,1101112070334,1108147859,20000918,12,서울특별시 송파구 오금로 91(방이동) 7층,2025,20260319000422,,False,False,중견,"3년 평균 매출 3,056억 > 기준 800억, 자산 10,408억 ≥ 5,000억",별도,800,345322484874.0,305635942050.0,1040842273157.0,474231586051.0,418619456084.0,1235797418831.0,False,,,,,비해당,,,비해당,,비대상,True,0,0,0,0,0,0,24,False,비대상,,,비대상
01553129,주식회사 제이투케이바이오,420570,K,20423,1501110229589,6658600626,20161227,12,충청북도 청주시 청원구  오창읍 두릉유리로 50-3,2025,20260319000464,,False,False,중소,"3년 평균 매출 301억 ≤ 기준 1,200억, 자산 5,000억 미만",별도,1200,31077941562.0,30076755965.0,39017961389.0,32966351938.0,31522603317.0,38064178260.0,False,,,,,비해당,,,비해당,,비대상,,0,0,0,0,0,0,0,False,비대상,,,비대상
00105961,엘지이노텍(주),011070,Y,262,1101110192180,1058174316,19760224,12,서울특별시 강서구 마곡중앙10로 30 LG사이언스파크,2025,20260312001270,엘지,True,False,대기업,상호출자제한기업집단 소속,별도,1000,21596008000000.0,20882352333333.0,10190414000000.0,21896603000000.0,21234216000000.0,11930883000000.0,True,I1100100023,엘지이노텍 주식회사,26299,,비해당,,,비해당,,비대상,,0,0,0,0,0,0,0,False,비대상,,,비대상
00126478,삼성중공업(주),010140,Y,3111,1101110168595,1208152780,19740805,12,경기도 성남시 분당구 판교로227번길 23 삼성중공업 판교R&D센터,2025,20260312001037,삼성,True,False,대기업,상호출자제한기업집단 소속,별도,1200,10634952868811.0,9469876334412.0,14774688371138.0,10650010702818.0,9520839511463.0,14948871093928.0,True,I1300100002,삼성중공업 주식회사,31111,,비해당,,,비해당,,비대상,,0,0,0,0,0,0,0,False,비대상,,,비대상
00166519,화천기공(주),000850,Y,29223,2001110001704,4108100996,19771011,12,광주광역시 광산구 하남산단4번로 123-17 (장덕동) 화천기공(주),2025,20260318000857,,False,False,중견,"3년 평균 매출 1,921억 > 기준 1,200억",별도,1200,194713374468.0,192129191234.0,365991872642.0,221755533963.0,223225560745.0,420411492511.0,False,,,,,비해당,,,일부해당,석재 가공기(일부),2차 후보(확인 필요),True,0,0,0,0,0,0,19,False,2차 후보(확인 필요),,,2차 후보-약
01663116,㈜에어레인,163280,K,29175,1101112183963,2068155816,20010303,12,충청북도 청주시 흥덕구 옥산면 과학산업4로 151-5,2025,20260318000364,,False,False,중소,"3년 평균 매출 230억 ≤ 기준 1,200억, 자산 5,000억 미만",별도,1200,28075652732.0,22973162597.0,111357455381.0,,,,False,,,,,비해당,,,일부해당,냉동장비 부품·냉각탑(일부),2차 후보(확인 필요),,0,0,0,0,0,0,0,False,2차 후보(확인 필요),,,2차 후보(확인 필요)
