stock_code,corp_name,wave_group,keyword,context
023810,(주)인팩,2차 후보(확인 필요),현가장치,"729 내 수 2,361 1,488 소 계 15,830 15,217 전자식파킹브레이크케이블(EPB) 및 공기현가장치(ECS)류 수 출 334 1 내 수 - - 소 계 334 1 안테나, 노즐엑츄에이터 수 출 57,765 6"
023810,(주)인팩,2차 후보(확인 필요),유럽,"외 관계사 신설을 진행 중이며, 2021년 12월에는 INFAC POLAND Sp. z o.o.를 설립하여 유럽 및 북미의 전기차 시장을 공략하기 위해 적극적인 투자 및 해외 시장 개척 활동을 전개하고 있습니다. 4-2"
023810,(주)인팩,2차 후보(확인 필요),유럽,"다 밀접한 영향을 받습니다. (3) 경쟁요소 현재 자동차 시장은 전기차 육성정책 및 환경규제 등으로 미국, 유럽 중심의 전기차 수요가 꾸준할 것으로 예상됩니다. 환경 규제에 맞는 친환경 자동차 부품 및 자율주행차와 관련"
023810,(주)인팩,2차 후보(확인 필요),유럽," 조정사항 지역 지역 합계 지역 지역 합계 본사 소재지 국가 외국 본사 소재지 국가 외국 한국 아시아 미국 유럽 기타 국가 한국 아시아 미국 유럽 기타 국가 수익(매출액) 340,796,436,623 229,068,52"
097520,(주)엠씨넥스,비대상,유럽," 및 차량용 카메라모듈/ 센서모듈/반도체패키지 해외영업1팀 해외영업1팀(일본영업) 해외영업2팀 해외영업2팀(유럽, 미주, 인도 등) 전장사업부문 전장 총괄 임원 자동차용 카메라모듈/ 선행, 센싱, 카메라 및 시스템센서모"
012610,(주)경인양행,비대상,유럽,"대는 연평균 23%, 1990년대 이후에는 연평균 13%의 높은 성장을 했으나, 2000년대이후 주요 선진 유럽기업들이 인건비, 환경 비용 등이 낮은 신흥 국가로 염료산업 기지를 이동하거나 매각하였고, 그로 인한 저가의"
012610,(주)경인양행,비대상,유럽,금:초기 5만불 - 북미시장의 판매중계및 기술지원과 독자 판매 엑소이(주)(터키) 1997.06.11~ - 유럽시장의 판로확대 및 적기공급과 관세장벽개선- 터키현지 합작법인 설립계약 초기출자:3백5십만불 - 당사 50%
012610,(주)경인양행,비대상,유럽,"로 성장해 왔으며, 선진국 염료의 수입 대체를 통해 산업 기반을 확립해 왔습니다. 다만, 2000년대 이후 유럽 주요 염료 기업들이 생산기지를 신흥국으로 이전함에 따라 가격 경쟁이 심화되었고, 이에 따라 제품 차별화의 "
102460,이연제약(주),비대상,유럽,르면 만 40세 이상의 유병률은 13.4%로 10명 중 1명 이상이 해당 질환을 가지고 있습니다. 미국 및 유럽 5개 국은 습성 황반변성 유병 인구가 2035년 387만 명까지 증가할 것으로 예상하고 있습니다. ② 개발
102460,이연제약(주),비대상,유럽, 곰팡이에 의한 진균 감염을 치료하기 위한 약제학적 조성물 및 그의 용도 등록 2021.07.19 항진균제 유럽 FK506 유도체를 함유하는 크립토코쿠스 속 곰팡이 및 칸디다 속 곰팡이에 의한 진균 감염을 치료하기 위한
102460,이연제약(주),비대상,유럽,"한 증가, 만성질환의 확대, 의료비용 절감 정책으로 인해 중국, 라틴아메리카 등 신흥제약시장은 물론 북미, 유럽 등 선진 제약시장에서도 제네릭 시장 성장이 두드러질 것으로 전망되고 있습니다.한편, Evaluate Pha"
074600,(주)원익큐엔씨,비대상,유럽,"ONIK Quartz Europe GmbH(이하 ""W.Q.E."")(독일)독일법인인 W.Q.E.는 독일 원익 유럽법인(WONIK QUARTZ EUROPE GMBH)을 설립하여 영업을 개시하였습니다. 주 생산품은 반도체, "
036200,유니셈(주),비대상,유럽,"체장비 수주의 많은 부분을 미국, 일본의 기업들이 차지하고 있습니다. 국내 반도체장비 기술력은 일본, 미국 유럽 대비 미흡한 수준으로 대부분 수입에 의존하고있으며 공정 및 검사용 장비는 해외의존도가 높은 편입니다. 반도"
111380,(주)동인기연,비대상,유럽," 경우, 해당 지역의 현지 직원들은 모국어 이외의 언어를 자유롭게 사용하지 못하는 경우가 많아 대부분 북미/유럽에 위치한 글로벌 아웃도어 브랜드들과의 의사소통이나, 기술 전수와 품질 관리 등을 원활히 하는 데 어려움을 "
125210,(주)아모그린텍,비대상,유럽,",791,781 북미 10,214,119 13,411,947 아시아 46,950,907 44,985,070 유럽 27,146,914 24,066,482 아프리카 7,904,032 5,310,241 합 계 129,304,"
125210,(주)아모그린텍,비대상,유럽,",791,781 북미 10,214,119 13,411,947 아시아 48,236,327 44,985,070 유럽 27,146,914 24,066,482 아프리카 7,904,032 5,310,241 합 계 130,600,"
125210,(주)아모그린텍,비대상,유럽,시키고자 노력하고 있습니다. 아울러 전세계적으로 자동차 관련 환경규제를 강화하고 자율주행기술을 개발하는 등 유럽 국가를 시작으로 내연기관 퇴출 및 환경차 보급 계획이 마련되고 있어 시장 확대가 예상됩니다. 블룸버그 뉴에
114840,(주)아이패밀리에스씨,비대상,유럽,"가고 있습니다. 또한 폴란드(124.5%), 프랑스(71.8%), 영국(53.3%), 호주(48.4%) 등 유럽 및 중동 지역에서 두드러진 성장세가 나타나며 수출 시장 다변화가 점진적으로 확대되고 있습니다. 중국향 화장"
114840,(주)아이패밀리에스씨,비대상,유럽,"랍에미리트(+67.1%), 폴란드(+124.5%), 영국(+53.3%), 프랑스(+71.8%) 등 중동 및 유럽 지역에서도 높은 성장률을 기록했습니다. 이러한 흐름은 중국 중심 구조에서 벗어나 북미·유럽·중동 등으로 수"
114840,(주)아이패밀리에스씨,비대상,유럽,") 등 중동 및 유럽 지역에서도 높은 성장률을 기록했습니다. 이러한 흐름은 중국 중심 구조에서 벗어나 북미·유럽·중동 등으로 수출 시장이 확대되는 다변화 추세가 지속되고 있음을 보여줍니다. (단위 : 천 달러, %) 순"
263810,상신전자(주),비대상,유럽,스 몰딩 필터 개발 완료 2022.01 Multi-V 북미향 노이즈필터 개발 완료 2022.03 북미향 및 유럽향 오븐용 코일 개발 완료 2022.03 ESS 단상 7.6KW 북미향 필터 개발 완료 2022.03 35K
014710,사조씨푸드(주),비대상,유럽," 정밀 가공하여 국내외 시장에 공급하는 사업입니다. 일본이 주요 수출 거점이며, 최근 수요가 증가하고 있는 유럽 및 북미 시장으로 수출 비중을 전략적으로 확대하고 있습니다. ■수산물 유통 사업(일반수산물) 일반수산물 유"
014710,사조씨푸드(주),비대상,유럽,"경로 및 방법 1) 판매부서 담당 업무 구분 주요제품 업 무 수산물가공유통사업부문 횟감용참치 1. 일본 및 유럽, 기타 해외 거래처를 대상으로 가공품과 원료 수출2. 국내 참치 대리점과 전문점, 온라인몰을 통한 판매 등"
014710,사조씨푸드(주),비대상,유럽,"품의 어종, 규격 등),결제 조건 등을 협의하여 최종적으로 수출결정을 하고 업무를 진행합니다.주로 일본 및 유럽, 기타국가(동남아 외)의 주문생산으로 이루어지며 40피트 컨테이너를 기준으로 수출이 진행되고 있습니다.② "
010660,화천기계(주),2차 후보(확인 필요),유럽,"951,763 101,886,457 미국 2,157,664 1,982,684 - - 중국 - 987 - - 유럽 488,805 511,355 - - 기타국가 1,468,343 2,408,116 - - 합 계 214,51"
010660,화천기계(주),2차 후보(확인 필요),유럽,". 당사에서 판매하는 제품 및 상품은 국내시장은 물론 국제시장에서도 위치를 확고히 하여 공작기계의 본고장인 유럽, 미국에서도 호평을 받고 있으며 세계적인기업들과 경쟁을 펼치고있습니다. 또한 범용 공작기계 전문업체로서의 "
010660,화천기계(주),2차 후보(확인 필요),유럽,"951,763 101,886,457 미국 2,157,664 1,982,684 - - 중국 - 987 - - 유럽 488,805 511,355 - - 기타국가 1,468,343 2,408,116 - - 합 계 214,51"
240810,(주)원익아이피에스,2차 후보(확인 필요),현가장치,9 다중 반응기 ALD용 RF Generator 와 RF Matcher 개발 완료(2024년 2분기) 30 서스펜션 플라즈마 용사용 산화이트륨 및 코팅기술개발 완료(2023년 4분기) 31 반도체 공정용 7축 웨이퍼 이동 
240810,(주)원익아이피에스,2차 후보(확인 필요),유럽," 관련하여 태양전지의 고효율화, 비용절감을 위한 다양한 장비 개발이 진행되고 있습니다. 향후 태양광 시장은 유럽과 미국 등 주요국의 탄소중립 정책 가속화 및 글로벌 기업들의 RE100 이슈 등으로 인해 성장세가 지속될 "
093370,(주)후성,비대상,유럽,상 및 시장 선점 현재 연구 진행 중 액상 LiPF6 연구개발 및 상용화 2016-현재 액상 LiPF6 로 유럽 시장 선점 - 초고순도 불화수소 가스 연구개발 2019-2021 일본 규제품목 반도체용 에칭가스인 초고순도
093370,(주)후성,비대상,유럽,"업의 실적 확대에 힘입어 전년 대비 매출 및 영업이익이 증가하였습니다.금년에도 미·중 외교 및 경제 갈등과 유럽 및 중동 지역의 지정학적 긴장이 지속되면서 세계 경제의 불확실성이 이어질 것으로 예상되며, 국내에서도 인플"
011930,주식회사 신성이엔지,비대상,CBAM," 민간 기업 주도의 형태를 띄며 시장이 다변화 될 것으로 예상됩니다.향후 글로벌 탄소 중립 움직임과 EU의 탄소국경조정제도, 글로벌기업들의 RE100 이니셔티브 요구로 인해 국내 기업들의 재생에너지 발전원에 대한 수요도 점"
011930,주식회사 신성이엔지,비대상,CBAM,"ESS를 설치, 시공하는 사업을 영위하고 있습니다. 최근 전세계적으로 RE100 이니셔티브의 확산, EU의 탄소국경조정제도 시행을 앞두고, 산업제조시설에서의 재생에너지 발전원 적용 수요가 증가하고 있으며, 당사 역시 기존의"
011930,주식회사 신성이엔지,비대상,유럽,"사업 이사회 공시제출일 현재 9개국에 진출한 당사 해외지법인의 운영, 영업, 수주활동 지원을 위함. 미국, 유럽을 중심으로 한 해외투자의 규모가 커짐에 따라 해외 수주 역시 늘고 있음. 당사의 관리인력 일부를 해외로 파"
011930,주식회사 신성이엔지,비대상,유럽,"및 RE100솔루션 제공 능력을 통해 기존 사업과의 연계가 가능할 것으로 전망함. 해외법인 지원사업 미국, 유럽을 중심으로 한 해외투자의 규모가 커짐에 따라 해외 수주 역시 늘고 있음. 당사의 관리인력 일부를 해외로 파"
011930,주식회사 신성이엔지,비대상,유럽,쟁과 품질관리·보증·유지관리 비용 수준에 따라 프로젝트 수익성이 변동될 가능성이 있음 . 건축 자재의 제조 유럽에 비해 건물 일체형 태양광 모듈 설치에 대한 정책 미비로 시장 확대의 지연 우려됨. 해외법인 지원사업 자재
018470,조일알미늄(주),1차(2027),유럽,"- 실수요자 공 장 ━ 영업부서 ┫ ┗ 실수요자 나)수출 LOCAL 수출 : 동남아, 중국, 미국, 일본, 유럽 등 DIRECT수출 : 유럽 2) 판매경로별 매출액 비중 가) 내수 경 로 도매상 실수요자 비고 비 중 4"
018470,조일알미늄(주),1차(2027),유럽,"서 ┫ ┗ 실수요자 나)수출 LOCAL 수출 : 동남아, 중국, 미국, 일본, 유럽 등 DIRECT수출 : 유럽 2) 판매경로별 매출액 비중 가) 내수 경 로 도매상 실수요자 비고 비 중 42.50% 57.50% - 나"
